Gene,N61311_Dex,N052611_Dex,N080611_Dex,N061011_Dex,N61311_untreated,N052611_untreated,N080611_untreated,N061011_untreated
NPHP4,183,289,313,399,276,205,244,364
KCNAB2,179,349,249,376,170,213,205,274
CHD5,10,29,10,14,10,16,6,8
LOC105376687,0,0,0,0,0,0,0,0
RPL22,7143,11722,8825,10077,8034,8908,8860,9703
LOC107985733,20,48,60,47,14,56,55,42
RNF207-AS1,4,7,3,15,2,6,9,10
RNF207,85,151,132,149,81,153,123,114
ICMT,2455,4790,3950,3758,2645,3103,3231,3302
ICMT-DT,1,1,3,2,1,1,2,2
HES3,0,0,0,0,0,0,0,0
GPR153,405,657,582,846,975,882,987,1449
ACOT7,457,846,718,814,504,655,613,822
HES2,1,2,0,2,5,2,2,3
ESPN,2,4,2,2,2,3,5,10
MIR4252,0,0,0,0,0,0,0,0
TNFRSF25,12,27,31,48,19,27,43,63
PLEKHG5,64,138,222,205,136,171,293,317
NOL9,340,521,451,457,393,393,384,448
TAS1R1,6,10,3,3,4,9,11,3
LOC107984912,1,0,0,1,0,0,0,0
ZBTB48,171,298,263,339,183,246,228,262
KLHL21,2192,4938,2662,4604,2178,1749,2463,2698
LOC107984913,39,129,83,101,32,47,61,71
PHF13,632,1194,864,1186,650,632,758,986
THAP3,347,617,545,569,369,440,493,559
DNAJC11,695,1301,1289,1223,730,892,1127,1069
LINC01672,0,0,0,0,0,0,0,0
CAMTA1-DT,3,6,4,1,2,2,4,2
CAMTA1,263,521,457,457,293,308,389,464
LOC105376692,0,0,0,0,0,0,0,0
CAMTA1-AS2,0,0,0,0,0,1,0,0
CAMTA1-AS1,0,0,0,0,0,0,0,0
LOC105376691,0,0,0,0,0,0,0,0
LOC105376689,0,0,0,0,0,1,0,0
VAMP3,2789,6708,4821,5814,3137,3839,4218,4644
PER3,59,236,106,122,393,379,588,792
UTS2,0,1,1,0,0,2,3,0
TNFRSF9,2,2,1,0,1,2,1,0
PARK7,2464,3853,3247,3397,2507,2579,2805,3134
ERRFI1,3114,11164,7860,10122,842,1305,1709,1245
LOC107984915,0,0,1,0,1,0,0,1
LINC01714,0,0,0,1,0,0,0,0
LOC105376695,0,0,0,0,0,0,0,0
SLC45A1,205,376,340,446,113,98,120,153
RERE,2648,4685,4343,5500,2666,3813,3356,4625
RERE-AS1,1,4,6,9,2,1,3,1
SNORD128,0,0,0,0,1,0,0,0
ENO1,15622,18444,32394,18174,17099,14985,14393,14837
MIR6728,2,0,3,1,1,2,0,1
ENO1-AS1,9,8,6,9,12,4,8,7
LOC112268261,1,6,2,3,0,0,1,2
CA6,0,0,0,0,0,0,0,0
SLC2A7,0,0,0,0,0,1,0,0
SLC2A5,35,255,344,58,133,207,82,78
GPR157,75,125,109,143,85,91,93,153
MIR34AHG,482,623,608,641,774,672,855,989
MIR34A,0,2,3,2,1,1,2,2
LNCTAM34A,49,90,108,81,104,107,146,107
H6PD,5612,13109,9220,12545,5816,6994,5381,8577
SPSB1,729,1220,677,1657,1053,677,1003,1111
LINC02606,29,70,53,51,50,86,61,59
SLC25A33,67,121,96,117,72,51,71,69
TMEM201,102,230,186,209,142,137,163,205
LOC107985734,1,4,2,3,1,2,1,3
LOC105376712,0,0,0,0,0,0,0,0
PIK3CD,387,928,830,1169,307,392,443,498
PIK3CD-AS1,0,0,0,0,0,0,0,0
PIK3CD-AS2,26,46,72,44,42,56,63,46
CLSTN1,6149,12945,10951,13308,5774,7785,7840,8764
CTNNBIP1,201,403,311,467,263,249,288,395
LOC105376717,10,14,22,15,13,13,18,21
LZIC,484,884,792,888,771,706,869,1030
NMNAT1,279,639,457,543,393,433,455,519
TMEM274P,0,0,0,0,0,0,0,0
MIR5697,0,0,0,0,0,0,0,0
RBP7,0,1,0,2,0,3,3,1
UBE4B,1696,3988,3073,4460,2401,2696,3048,3395
KIF1B,1551,2978,2143,3029,1603,1726,1939,2267
LOC105376725,0,4,0,2,5,1,1,0
PGD,3004,5713,3684,4501,3086,3806,4927,3430
CENPS-CORT,64,139,91,121,60,115,100,120
CENPS,78,162,99,130,67,128,103,126
CORT,4,7,6,10,3,5,11,6
DFFA,847,1388,1537,1382,1094,1091,1529,1438
PEX14,304,526,518,504,345,392,405,415
CASZ1,2,9,23,8,0,7,27,9
LOC105376733,0,0,0,0,0,0,0,0
LOC105376735,0,0,0,0,0,0,0,0
C1orf127,0,2,0,0,0,4,0,2
TARDBP,2116,4071,3747,3459,2772,3389,3881,3640
MASP2,39,94,50,82,47,79,63,89
SRM,1261,3241,1886,2745,1017,1131,1221,1211
EXOSC10,1378,3522,1916,3715,1153,1480,1444,1670
EXOSC10-AS1,25,69,46,84,28,40,35,34
MTOR,1742,4991,3332,4365,1581,1799,2353,2040
MTOR-AS1,21,59,44,56,29,30,35,24
ANGPTL7,50,1427,10,1817,4,19,1,20
UBIAD1,257,666,475,696,219,240,295,339
LOC105376737,0,0,0,0,0,0,0,0
LOC105376739,0,0,0,0,0,0,0,0
LOC105376740,0,0,0,0,0,0,0,0
DISP3,0,12,0,3,0,4,1,4
LOC112268221,0,0,0,1,0,1,0,0
LINC01647,0,0,0,1,1,0,0,0
FBXO2,38,60,58,97,25,55,44,54
FBXO44,397,594,505,698,501,445,508,613
FBXO6,120,182,138,219,112,135,123,207
MAD2L2,384,552,495,562,329,359,392,427
DRAXIN,3,0,0,1,5,4,4,1
AGTRAP,853,1875,1216,1746,491,644,493,720
C1orf167,250,364,238,451,301,311,253,405
C1orf167-AS1,0,1,0,0,0,0,0,0
MTHFR,1098,1776,1045,2157,1288,1377,1303,1811
CLCN6,572,949,799,1259,674,604,706,921
NPPA-AS1,67,117,98,125,80,77,77,110
NPPA,3,10,2,7,4,7,3,9
NPPB,0,0,0,0,0,0,0,0
RNU5E-1,0,0,0,0,0,0,0,0
KIAA2013,1051,1798,1764,1935,1174,1291,1285,1529
PLOD1,4409,10543,9601,10141,6572,8214,7888,9961
MFN2,2407,4428,3924,3952,3043,3417,3668,3939
MIIP,280,311,275,306,221,187,224,208
MIR6729,1,0,0,1,1,0,1,0
TNFRSF8,1,3,2,1,1,3,0,0
MIR7846,0,0,0,0,0,0,0,0
TNFRSF1B,578,1123,1023,929,405,619,318,563
MIR4632,0,0,0,0,0,0,0,0
LOC107984917,4,6,8,2,1,3,0,3
VPS13D,2884,7280,4687,7830,2346,3238,2793,4155
SNORA59A,5,12,8,12,7,4,6,4
LINC02766,1,3,0,3,0,0,0,0
DHRS3,4197,13050,3412,10675,2064,4282,1814,4049
MIR6730,6,7,1,4,1,3,2,4
AADACL4,9,46,5,36,3,8,0,10
AADACL3,0,0,0,0,0,0,0,0
CFAP107,0,0,0,0,1,1,0,0
PRAMEF12,4,0,0,0,1,0,0,0
PRAMEF1,8,0,0,0,0,0,0,0
LINC01784,0,0,0,0,0,0,0,0
PRAMEF11,1,0,0,0,0,0,0,0
HNRNPCL1,1,5,2,5,1,0,2,4
PRAMEF2,14,0,0,0,0,0,0,0
PRAMEF4,0,0,0,0,0,0,0,0
PRAMEF10,0,0,0,0,0,0,0,0
PRAMEF7,7,0,1,0,0,0,0,0
PRAMEF6,1,0,0,0,0,0,0,0
PRAMEF27,0,0,0,0,0,0,0,0
HNRNPCL3,0,0,0,0,0,0,0,0
PRAMEF25,1,0,0,0,0,0,0,0
PRAMEF34P,4,0,0,0,0,0,0,0
HNRNPCL2,0,0,0,0,0,0,0,1
PRAMEF36P,4,0,0,0,0,0,0,0
PRAMEF26,1,0,0,0,0,0,0,0
HNRNPCL4,0,0,0,0,0,0,0,0
PRAMEF9,0,0,0,0,0,0,0,0
PRAMEF13,3,0,0,0,0,0,0,0
PRAMEF18,0,0,0,0,0,0,0,0
PRAMEF5,1,0,0,0,0,0,0,0
PRAMEF8,14,0,1,0,0,0,0,0
PRAMEF33,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,1,0,0,0
PRAMEF14,2,0,0,0,0,0,0,0
PRAMEF19,0,0,0,0,0,0,0,0
PRAMEF17,0,0,0,0,0,0,0,0
PRAMEF20,2,0,0,0,0,0,0,0
LRRC38,0,1,0,1,0,0,0,0
LOC102724856,0,0,0,0,0,0,0,0
LOC107984918,0,1,0,0,0,0,0,0
PDPN,2837,2711,978,2186,886,506,247,604
LOC107984919,2,5,0,2,1,2,0,1
LOC105378612,0,0,0,0,1,0,0,0
LOC105376756,0,0,0,0,0,1,0,0
PRDM2,1191,2268,1624,2151,1119,1428,1364,1613
KAZN,480,747,981,1252,724,815,890,1197
LOC107985467,1,4,2,9,0,1,0,2
LOC107985468,1,5,1,3,0,2,0,2
KAZN-AS1,0,0,0,0,0,0,0,0
LOC105376759,13,25,17,14,50,39,41,54
LOC107985469,4,0,0,1,0,0,0,3
TMEM51-AS1,35,51,40,102,37,35,35,63
TMEM51,201,240,188,361,254,170,248,343
TMEM51-AS2,1,1,0,0,0,0,0,1
FHAD1,0,1,1,2,1,0,1,3
FHAD1-AS1,0,0,0,0,0,0,0,1
EFHD2-AS1,0,0,0,4,0,1,1,4
EFHD2,611,935,934,1226,505,488,639,850
CTRC,1,1,0,0,2,1,1,2
CELA2A,0,1,0,1,2,0,0,1
LOC105376767,1,0,0,0,0,1,0,0
CELA2B,6,2,2,8,3,2,2,2
CASP9,189,261,210,321,179,178,186,257
DNAJC16,554,1130,917,1094,604,646,793,805
SCARNA21B,0,0,0,0,0,0,0,0
AGMAT,16,20,17,12,4,11,24,15
DDI2,588,1534,779,1395,371,397,547,515
RSC1A1,79,200,162,249,61,80,95,86
PLEKHM2,3466,6455,5008,7417,3702,3959,4759,5396
SLC25A34,39,101,34,56,33,28,32,27
SLC25A34-AS1,2,6,2,2,3,1,2,1
TMEM82,0,0,0,0,0,0,0,0
FBLIM1,2198,3202,2737,2750,1575,1735,1920,1884
UQCRHL,168,265,236,180,182,198,220,150
SPEN-AS1,50,58,43,67,38,35,36,63
SPEN,1572,2625,2118,3433,1150,1195,1482,1604
ZBTB17,445,666,591,714,520,506,545,578
SRARP,0,0,0,0,0,0,0,0
HSPB7,238,2276,725,1197,287,1079,291,764
CLCNKA,2,12,3,7,4,9,7,10
CLCNKB,3,14,9,19,3,11,7,12
FAM131C,5,4,5,5,2,2,4,3
EPHA2,26,130,72,159,39,90,74,138
EPHA2-AS1,1,6,3,9,3,9,9,8
ARHGEF19,76,248,215,156,33,128,104,78
ANO7L1,21,82,25,54,12,31,15,20
CPLANE2,62,138,83,130,51,80,62,99
FBXO42,570,1331,872,1314,576,647,710,822
SZRD1,2027,4216,4179,4406,2191,2624,2787,3196
SPATA21,1177,2512,2156,2435,1235,1384,1471,1803
NECAP2,939,2604,2004,2204,1142,1523,1585,1714
LINC01772,28,58,37,42,36,57,46,50
CROCCP3,86,135,156,170,129,174,182,206
RNU1-1,1,1,2,1,4,1,4,0
TRN-GTT5-1,0,0,0,0,0,0,0,0
LINC01783,0,0,1,0,1,1,0,1
TRE-TTC4-1,0,0,0,0,1,0,0,0
TRG-CCC1-1,0,0,0,0,0,0,0,0
NBPF1,472,806,998,1153,966,1151,1569,1750
LOC105376794,368,378,523,401,436,268,491,353
CROCCP2,175,211,256,248,194,137,228,229
MST1P2,73,111,85,86,56,70,72,63
LOC107985736,3,5,6,6,4,11,15,8
RNU1-3,1,1,1,1,3,1,3,1
TRG-CCC4-1,0,0,0,0,0,0,0,0
ESPNP,0,0,0,0,0,0,0,0
TRG-CCC5-1,0,0,0,0,0,0,0,0
RNU1-4,0,0,0,0,1,0,0,0
MST1L,36,56,45,49,26,35,45,40
MIR3675,0,0,0,0,0,0,0,0
TRG-CCC1-2,0,0,0,0,0,0,0,0
LOC112267871,0,0,2,0,0,0,0,2
TRE-TTC3-1,0,0,0,0,0,0,0,0
TRN-GTT13-1,0,0,0,0,0,0,0,0
LOC105376805,62,88,50,85,46,56,36,63
TRN-GTT4-1,0,1,0,0,0,0,0,0
RNU1-2,0,1,1,0,1,0,0,0
CROCC,552,696,749,1045,573,542,647,945
MFAP2,316,666,462,820,567,711,854,1029
LOC105376806,63,104,100,135,112,128,166,181
ATP13A2,317,558,700,628,284,358,453,412
SDHB,662,1447,1132,1270,663,872,1072,1011
PADI2,1,6,10,1,0,13,9,1
LOC105376808,0,0,0,0,0,0,0,0
LINC02783,0,2,1,1,1,0,2,0
PADI1,0,3,3,0,0,2,0,0
PADI3,0,0,0,0,0,0,0,0
MIR3972,0,0,0,0,0,0,0,0
PADI4,0,0,0,0,0,0,0,0
PADI6,0,0,0,0,0,0,0,0
RCC2,1221,2731,1284,2121,1366,1662,1861,1858
ARHGEF10L,647,1343,1161,1338,730,916,895,1021
LINC02810,0,0,0,0,0,0,0,0
ACTL8,2,0,6,0,2,0,43,4
LOC105376809,0,0,0,0,0,0,0,0
LOC105376812,0,0,0,0,0,0,0,0
LINC01654,0,0,0,0,0,0,0,0
IGSF21,0,0,0,0,0,0,0,0
IGSF21-AS1,0,1,0,0,0,0,0,0
KLHDC7A,1,0,0,0,0,0,0,0
PAX7,0,0,0,0,0,0,0,0
TAS1R2,0,0,0,0,0,0,0,0
ALDH4A1,534,1113,856,896,346,408,499,394
MIR4695,0,0,0,0,0,0,0,0
MIR1290,0,0,0,0,0,0,0,0
IFFO2,172,269,166,285,232,223,194,301
LOC105376815,0,0,0,0,0,0,0,0
UBR4,6640,11168,10332,15366,8881,9431,11500,12887
EMC1-AS1,55,92,102,95,65,83,75,77
EMC1,1062,2858,1820,2043,1442,2027,1603,1901
MRTO4,316,569,611,549,302,383,409,494
AKR7L,34,58,42,60,28,21,27,52
AKR7A3,18,35,30,37,19,20,21,39
LOC100506730,83,169,104,122,79,75,122,103
AKR7A2,909,1488,1218,1601,995,988,1064,1341
SLC66A1,283,472,459,507,275,274,373,431
CAPZB,5063,10077,7596,8171,4639,6155,5808,6156
LOC105376819,1,10,1,4,1,9,8,2
LOC105376818,0,5,1,3,1,0,3,0
LOC105376817,2,3,1,4,3,5,2,0
MICOS10-DT,1,0,0,0,0,1,0,0
MICOS10,747,1282,661,1009,689,589,512,790
MICOS10-NBL1,8870,13494,8068,13133,5487,5342,5615,5611
RPS14P3,8,13,6,4,4,6,6,2
NBL1,8725,13341,7928,13007,5368,5254,5526,5498
HTR6,0,5,0,1,2,2,1,0
TMCO4,285,542,497,594,357,417,492,494
RNF186,0,0,0,0,0,0,0,0
LOC105376823,3,1,0,1,0,0,0,0
OTUD3,156,265,217,255,187,169,245,254
PLA2G2E,0,0,0,0,0,0,0,0
PLA2G2A,77,519,48,130,48,177,28,51
PLA2G5,6,48,5,44,4,21,2,46
PLA2G2D,0,0,0,0,0,0,0,0
PLA2G2F,0,0,0,0,0,0,0,0
PLA2G2C,0,0,0,0,0,0,0,0
UBXN10,2,13,2,10,2,22,0,18
UBXN10-AS1,0,0,0,2,0,0,0,1
LOC105376825,0,0,0,0,0,1,0,0
LOC105376826,0,0,0,0,0,0,0,0
LINC01757,0,0,0,0,0,0,0,0
LOC105376828,0,0,0,0,0,0,0,0
VWA5B1,9,131,9,86,1,13,3,5
LINC01141,1,1,1,1,0,2,0,0
CAMK2N1,6481,17039,7364,15717,4766,6141,3680,8394
MUL1,654,1392,975,1480,739,835,704,1143
FAM43B,1,0,0,0,1,1,0,0
CDA,12,52,37,16,8,44,24,23
PINK1,2087,3946,3445,4370,1945,2147,2678,2981
MIR6084,30,36,40,67,38,34,13,48
PINK1-AS,1549,2883,2405,2894,1441,1673,1972,2089
DDOST,4407,7813,6748,7772,4956,6096,6135,6581
KIF17,13,45,105,56,12,43,85,27
SH2D5,26,65,170,103,41,55,71,130
LOC112268222,707,1456,1023,1293,800,829,988,1180
HP1BP3,3880,6701,5337,6834,4618,4651,5271,6102
EIF4G3,2447,4680,5884,4991,3236,4094,5758,5067
LOC105376830,0,0,0,0,0,0,1,0
LOC105376829,1,0,0,1,1,0,0,1
MIR1256,0,0,0,0,0,0,0,0
ECE1,7893,12621,10220,13916,7018,7908,9202,8632
ECE1-AS1,2,2,6,8,4,5,1,6
LOC105376832,0,0,0,0,0,0,0,0
NBPF3,921,1589,1479,1674,731,1110,820,991
ALPL,656,1916,3422,1035,564,1440,2193,747
LINC02596,0,0,1,0,0,0,0,0
RAP1GAP,7,12,14,20,5,13,10,8
USP48,1776,3107,3181,3077,1661,2104,2807,2547
LDLRAD2,925,1974,1292,1816,865,1504,942,1724
HSPG2,11800,23230,21607,29138,12143,23575,14090,25469
CELA3B,0,1,0,0,1,0,0,0
CELA3A,0,0,0,0,0,0,0,0
LINC01635,7,11,6,18,6,9,9,10
LINC00339,190,350,168,443,189,230,217,362
CDC42-AS1,12,13,8,21,6,14,12,12
CDC42,3067,5998,5324,4897,3336,4002,4543,4336
WNT4,1,3,1,1,2,3,1,2
LOC105376845,1,0,0,1,0,0,0,0
LOC105376850,0,0,0,0,0,3,0,0
LOC107985377,0,0,0,0,0,0,0,0
MIR4418,0,0,0,0,0,0,0,0
LOC105376856,0,0,0,0,0,0,0,0
ZBTB40,816,1308,1184,1497,858,1007,1215,1241
EPHA8,0,0,0,0,0,0,0,0
MIR6127,0,0,0,0,0,0,0,0
C1QA,0,0,0,0,0,0,0,0
C1QC,0,0,0,0,0,0,0,0
C1QB,0,0,0,0,0,0,0,0
EPHB2,168,142,374,248,517,372,1109,931
MIR4684,0,0,0,0,0,0,0,0
MIR4253,3,0,11,3,11,8,24,9
LACTBL1,0,0,0,0,0,0,0,0
TEX46,0,0,1,1,1,0,2,1
KDM1A,980,1898,1605,1777,1389,1490,1850,1990
MIR3115,0,0,0,0,0,0,0,0
LUZP1,1425,1881,2742,2247,1697,1708,2136,1987
HTR1D,0,0,0,0,0,1,1,0
LINC01355,46,104,62,62,44,47,85,65
HNRNPR,1800,2587,2887,2171,1912,2121,2621,2449
ZNF436,492,1235,719,1270,844,1146,976,1567
ZNF436-AS1,85,164,99,216,125,138,114,247
TCEA3,450,534,506,307,805,622,753,438
ASAP3,1704,2976,1880,3086,1790,2240,2437,2470
E2F2,3,3,2,0,3,1,0,0
LOC101928163,1,0,0,0,0,1,0,0
LOC105376859,1,4,1,3,0,3,4,3
ID3,120,121,192,210,115,118,182,126
LOC107984928,0,0,1,1,0,0,0,0
MDS2,1,0,0,0,0,0,0,0
RPL11,12920,19577,15328,17170,13780,15457,15754,16922
ELOA,1225,2213,1805,2019,1306,1277,1527,1600
ELOA-AS1,135,242,185,201,128,150,157,169
PITHD1,413,878,630,829,508,569,687,797
LOC105376860,26,31,51,54,22,44,48,45
LYPLA2,432,626,691,697,421,434,507,556
GALE,97,90,142,84,118,115,93,91
HMGCL,504,1122,940,1043,660,759,844,890
LOC105376861,1,0,0,0,0,1,0,0
FUCA1,73,190,111,152,75,147,106,157
CNR2,0,0,1,0,0,0,0,0
LOC107984929,0,0,0,0,0,0,0,0
MIR378F,0,0,0,0,0,0,0,0
PNRC2,1603,2861,2293,2612,1389,1506,1641,1754
SRSF10,1619,2712,2565,2457,1586,1672,1906,2284
LOC105378615,2,1,2,0,0,0,0,0
LOC105376863,1,1,1,0,0,1,0,1
LOC107984931,0,0,0,0,0,0,0,0
MYOM3,1,1,1,3,0,0,3,0
MYOM3-AS1,0,0,0,0,0,0,0,0
LOC105376864,0,0,0,1,0,0,1,0
